Disease,Symptoms,Possible Treatment
Influenza (Flu),"Fever, chills, sore throat, runny nose, body aches","Rest, fluids, antiviral medications"
Diabetes,"Increased thirst, frequent urination, fatigue","Insulin, oral medications, diet changes"
Hypertension,"Often asymptomatic, sometimes headache, vision issues","Lifestyle changes, antihypertensive drugs"
Asthma,"Wheezing, shortness of breath, chest tightness","Inhalers, bronchodilators, corticosteroids"
Allergic Rhinitis,"Sneezing, runny nose, itchy eyes, nasal congestion","Antihistamines, nasal sprays, avoiding triggers"
Bronchitis,"Persistent cough, mucus production, chest discomfort","Rest, fluids, cough suppressants, bronchodilators"
Pneumonia,"Fever, cough, difficulty breathing, chest pain","Antibiotics (bacterial), supportive care"
Migraine,"Severe headache, sensitivity to light/sound, nausea","Pain relievers, triptans, anti-nausea meds"
Arthritis,"Joint pain, stiffness, swelling","Pain relievers, anti-inflammatory drugs, physical therapy"
COVID-19,"Fever, cough, loss of taste/smell, difficulty breathing","Supportive care, antiviral meds, vaccines"
Tuberculosis (TB),"Cough with blood, weight loss, night sweats, fatigue",Antibiotic therapy over several months
Gastroenteritis,"Diarrhea, vomiting, stomach cramps, dehydration","Rehydration, rest, dietary adjustments"
Anemia,"Fatigue, pale skin, shortness of breath, weakness","Iron supplements, vitamin B12, folic acid"
Dermatitis,"Red, itchy skin, rash, blisters","Topical creams, antihistamines, moisturizers"
Depression,"Persistent sadness, fatigue, lack of interest","Antidepressants, counseling, lifestyle changes"
Hypertensive Heart Disease,"Chest pain, shortness of breath, fatigue","Blood pressure control, beta blockers"
Osteoporosis,"Bone fractures, back pain, loss of height","Calcium/Vitamin D, bisphosphonates, exercise"
Alzheimer's Disease,"Memory loss, confusion, personality changes","Medications, cognitive therapy, support"
Parkinson's Disease,"Tremors, stiffness, slowed movement","Dopamine agonists, physical therapy"
Hepatitis,"Jaundice, fatigue, abdominal pain, nausea","Antiviral medications, liver health support"
Sinusitis,"Facial pain, nasal congestion, headache","Decongestants, antibiotics, nasal sprays"
Epilepsy,"Seizures, confusion, loss of consciousness","Anti-seizure medications, surgery (in some cases)"
Irritable Bowel Syndrome (IBS),"Abdominal pain, bloating, diarrhea/constipation","Dietary adjustments, antispasmodics"
Celiac Disease,"Diarrhea, bloating, weight loss, fatigue",Gluten-free diet
Lupus,"Joint pain, fatigue, skin rashes, fever","Anti-inflammatory drugs, immune suppressants"
Psoriasis,"Red, scaly skin patches, itching, joint pain","Topical treatments, biologics, UV therapy"
Multiple Sclerosis,"Muscle weakness, numbness, vision problems","Immunotherapy, physical therapy, steroids"
